mcc_code,description,bill,merchant
3566,Garden Place Hotel,,1
3567,Soho Grand Hotel,,1
3568,Ladbroke Hotels,,1
3569,Tribeca Grand Hotel,,1
3570,Forum Hotels,,1
3571,Grand Wailea Resort,,1
3572,Miyako Hotel,,1
3573,Sandman Hotels,,1
3574,Venture Inn,,1
3575,Vagabond Hotels,,1
3576,La Quinta Resort,,1
3577,Mandarin Oriental Hotel?,,1
3578,Frankenmuth Bavarian,,1
3579,Hotel Mercure,,1
3580,Hotel Del Coronado,,1
3581,Delta Hotels,,1
3582,California Hotel and Casino?,,1
3583,Radisson BLU,,1
3584,Princess Hotels International,,1
3585,Hungar Hotels,,1
3586,Sokos Hotels,,1
3587,Doral Hotels,,1
3588,Helmsley Hotels,,1
3589,Doral Golf Resort,,1
3590,Fairmont Hotel,,1
3591,Sonesta Hotels,,1
3592,Omni Hotels,,1
3593,Cunard Hotels,,1
3594,Arizona Biltmore,,1
3595,Hospitality Inns,,1
3596,Wynn Las Vegas,,1
3597,Riverside Resort and Casino,,1
3598,Regent International Hotels,,1
3599,Pannonia Hotels,,1
3600,Saddlebrook Resort - Tampa,,1
3601,Trade Winds Resorts,,1
3602,Hudson Hotel,,1
3603,Noah's Hotel,,1
3604,Hilton Garden Inn,,1
3605,Jurys Doyle Hotel Group,,1
3606,Jefferson Hotel,,1
3607,Fountainebleau Resort,,1
3608,Gaylord Opryland,,1
3609,Gaylord Palms,,1
3610,Gaylord Texan,,1
3611,C MON INN,,1
3612,Movenpick Hotels,,1
3613,Microtel Inns & Suites,,1
3614,Americinn,,1
3615,Travelodge Motels,,1
3617,America's Best Value Inn,,1
3618,Great Wolf,,1
3619,Aloft,,1
3620,Binion's Horseshoe Club?,,1
3621,Extended Stay,,1
3622,Merlin Hotel,,1
3623,Dorint Hotels,,1
3624,Lady Luck Hotel and Casino,,1
3625,Hotel Universale,,1
3626,Studio Plus,,1
3627,Extended Stay America,,1
3628,Excalibur Hotel and Casino,,1
3629,Dan Hotels,,1
3630,Extended Stay Deluxe,,1
3631,Sleep Inn,,1
3632,The Phoenician,,1
3633,Rank Hotels,,1
3634,Swissotel,,1
3635,Reso Hotel,,1
3636,Sarova Hotels,,1
3637,Ramada Inns,,1
3638,Howard Johnson,,1
3639,Mount Charlotte Thistle?,,1
3640,Hyatt Motels,,1
3641,Sofitel Hotels?,,1
3642,Novotel,,1
3643,Steigenberger Hotels?,,1
3644,EconoLodges,,1
3645,Queens Moat Houses?,,1
3646,Swallow Hotels?,,1
3647,Husa Hotels,,1
3648,De Vere Hotels?,,1
3649,Radisson,,1
3650,Red Roof Inns,,1
3651,Imperial London Hotel,,1
3652,Embassy Hotels?,,1
3653,Penta Hotels,,1
3654,Loews Hotels,,1
3655,Scandic Hotels,,1
3656,Sara Hotels,,1
3657,Oberoi Hotels,,1
3658,New Otani Hotels,,1
3659,Taj Hotels International?,,1
3660,Knights Inn,,1
3661,Metropole Hotels,,1
3662,Circus Circus Hotel and Casino,,1
3663,Hoteles El Presidente,,1
3664,Flag Inns,,1
3665,Hampton Inn Hotels,,1
3666,Stakis Hotels,,1
3667,Luxor Hotel and Casino,,1
3668,Maritim Hotels,,1
3669,Eldorado Hotel and Casino,,1
3670,Arcade Hotels,,1
3671,Arctia Hotels,,1
3672,Campanile Hotels,,1
3673,IBUSZ Hotels,,1
3674,Rantasipi Hotels,,1
3675,Interhotel CEDOK,,1
3676,Monte Carlo Hotel and Casino?,,1
3677,Climat de France Hotels?,,1
3678,Cumulus Hotels,,1
3679,Silver Legacy Hotel and Casino,,1
3680,Hoteis Othan,,1
3681,Adams Mark Hotels,,1
3682,Sahara Hotel and Casino,,1
3683,Bradbury Suites,,1
3684,Budget Hosts Inns?,,1
3685,Budgetel Hotels,,1
3686,Suisse Chalet,,1
3687,Clarion Hotels,,1
3688,Compri Hotels,,1
3689,Consort Hotels,,1
3690,Courtyard Inns,,1
3691,Dillon Inn,,1
3692,Doubletree,,1
3693,Drury Inn,,1
3694,Economy Inns of America?,,1
3695,Embassy Suites,,1
3696,Excel Inn,,1
3697,Fairfield Hotels,,1
3698,Harley Hotels,,1
3699,Midway Motor Lodge,,1
3700,Motel 6,,1
3701,La Mansion Del Rio,,1
3702,The Registry Hotels,,1
3703,Residence Inn,,1
3704,Royce Hotels,,1
3705,Sandman Inn,,1
3706,Shilo Inn,,1
3707,Shoney's Inn,,1
3708,Virgin River Hotel and Casino,,1
3709,Super 8 Motels,,1
3710,The Ritz Carlton Hotels,,1
3711,Flag Inns (Australia),,1
3712,Buffalo Bill's Hotel and Casino,,1
3713,Quality Pacific Hotel,,1
3714,Four Seasons Hotels-Austr,,1
3715,Fairfield Inn,,1
3716,Carlton Hotels,,1
